"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","EXTERNAL","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"41010","2012-01-20T16:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"8","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-20T16:20:00","29.48","-73.94",,,"1","3","2","5",,,,"3",,,,,,,,,,"10252",,,"3",,,,,,,"219",,,,,,,,,,,,,,"242","93","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-20T16:20:00","22.38","-70.83",,,"1","3","2","5",,,,"3",,,,,,,,,,"10206",,,"3",,,,,,,"252",,,,,,,,,,,,,,"242","20","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCWR","2012-01-20T16:33:00","29.20","-79.20",,,"1","4","2","0","1","2",,"1",,"5","172","4","16","0","90",,,"10211",,,"0","227","0",,"1",,"9","255",,"0",,,,,,,,,,,,"242","99","708","109","0","0",,"2","111111","111AA118814AAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NDLM","2012-01-20T16:33:00","29.40","-79.30",,,"1","5","2","0","4","1",,"1",,"5","160","4","8","0","90",,,"10227",,,"0","211","0","167","1","139","9","211","1",,,"0","A",,,,"0","0",,,,"242","99","708","109","0","0",,"2","111111","111AA1111111AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-20T16:40:00","26.77","-76.62",,,"1","3","2","5",,,,"3",,,,,,,,,,"10237",,,"3",,,,,,,"229",,,,,,,,,,,,,,"242","66","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-20T16:46:00","24.38","-74.11",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"252",,,,,,,,,,,,,,"242","44","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-20T16:48:00","28.24","-76.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","86","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T16:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"10","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T16:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"2","8","4",,,,"242","71","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T17:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","120","1","40",,,,,"10239",,,"9","196",,,,,"1","231",,,,,,,,,,,,,,"242","88","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T17:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","60","1","40",,,,,"10228",,,"9","209",,,,,"1","243",,,,,,,,,,,,,,"242","71","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HXC9","2012-01-20T17:00:00","24.90","-75.30",,,"1","6","0","0","7","4",,"1",,"0","40","4","103",,"97",,,"10190","4","0","0","215","1","190",,"177","3","260","2","0","A",,"9","A","A",,"6","4",,,,"242","45","992","114","5","1","2","2","111111","111AA1111111A1",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"C6VG7","2012-01-20T17:00:00","26.40","-78.20",,,"1","6","0","0","1","1",,"1",,"0","110","4","82",,,,"1","10220",,"10","0","210",,,,,,,"4","4","A",,"5","6","A",,"3","1",,"3","1","242","68","992","114","5","1","2","2","F1111F","11AA111AAA1177",,,,,,"1","1",,,"3","1",,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-20T17:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","87","8","36",,,,,"10232",,,"0","203",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"2","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WBN3013","2012-01-20T17:00:00","29.30","-79.60",,,"1","5","0","0",,,,"1",,"0","140","4","51",,,,,,,,,,,,,,,,,,,,"A",,,,"2","1","14","2","2","242","99","992","114","5","1","2","2","FF11FF","11AAAAAAAA811A",,,,,,"1",,,"14","3","2",,,,,,,,,"4",,,,,,,,,,,,
"ZCDM6","2012-01-20T17:00:00","21.50","-76.20",,,"1","6","0","0","7","4","1","1","GB","0","80","3","108","0","98","2","0","10238",,,"0","260","0","240","1","231","1","270","3","3","1","0","6",,"1",,"5","1","6","4","2","242","16","926","112","5","1","0","2","111111","1111111111111A",,,"4","1","8","1","0","0",,,,,,,,,,,,"4",,,"9","11112111111219991111","5","297","295","19","3","0","79","62"
"41010","2012-01-20T17:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"9","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-20T17:20:00","29.47","-73.94",,,"1","3","2","5",,,,"3",,,,,,,,,,"10244",,,"3",,,,,,,"220",,,,,,,,,,,,,,"242","93","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-20T17:20:00","22.38","-70.84",,,"1","3","2","5",,,,"3",,,,,,,,,,"10198",,,"3",,,,,,,"253",,,,,,,,,,,,,,"242","20","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-20T17:23:00","28.24","-76.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","86","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCWR","2012-01-20T17:33:00","29.20","-79.20",,,"1","4","2","0","1","1",,"1",,"5","178","4","13","0","90",,,"10211",,,"0","227","0",,"1",,"9","255",,"0",,,,,,,,,,,,"242","99","708","109","0","0",,"2","111111","111AA118814AAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NDLM","2012-01-20T17:33:00","29.70","-79.40",,,"1","5","2","0","2","2",,"1",,"5","175","4","10","0","90",,,"10217",,,"0","216","0","183","1","166","9","255","1",,,"0","A",,,,"1","1",,,,"242","99","708","109","0","0",,"2","111111","111AA1111111AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-20T17:40:00","26.79","-76.63",,,"1","3","2","5",,,,"3",,,,,,,,,,"10228",,,"3",,,,,,,"232",,,,,,,,,,,,,,"242","66","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T17:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","139","8","36",,,,,"10230",,,"0","197",,,,,,"231",,,,,,,,,"9","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T17:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5","40","8","48",,,,,"10226",,,"0","209",,,,,,"243",,,,,,,,"5","9","4",,,,"242","71","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T18:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","140","1","40",,,,,"10230",,,"9","197",,,,,"1","231",,,,,,,,,,,,,,"242","88","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T18:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","40","1","50",,,,,"10226",,,"9","209",,,,,"1","243",,,,,,,,,,,,,,"242","71","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HXC9","2012-01-20T18:00:00","25.10","-75.50",,,"1","6","0","0","7","4",,"1",,"0","40","4","113",,"98",,"1","10187","1","3","0","212","0","140",,"85","3","242","3","3","2",,"5","0","0",,"5","2",,"9","1","242","55","992","114","5","1","2","2","111111","111A1111111171",,,,,,"1","1",,,,,,,,,,,,,"4",,,,,,,,,,,,
"A8CJ2","2012-01-20T18:00:00","21.70","-76.80",,,"1","6","0","0","3","4",,"1",,"0","80","4","113",,"98","3","1","10200","3","10","0","260","0","215",,"194","3","250","6","4","4",,"5","4","0",,"3","1","11","6","2","242","16","992","114","5","1","2","2","111111","14111111111411",,,,,,"1","1",,,,,,,,,,,,,"4",,,,,,,,,,,,
"C6VG7","2012-01-20T18:00:00","26.40","-78.20",,,"1","6","0","0","0","0",,"1",,"0","120","4","67",,"98",,"0","10218","7","2","3","204","0","117",,"40","1","250","2","2","1",,"6","A","A",,"3","2","9",,,"242","68","992","114","5","1","2","2","111112","111A1111111171",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"DDIG2","2012-01-20T18:00:00","24.60","-74.60",,,"1","6","0","0","8","4",,"1",,"0","50","4","82",,"98",,"0","10199","7","10","0","230","0","200",,"183","3","240","3","3","1",,"4","0","0",,,,"36","8","4","242","44","992","114","5","1","2","2","111111","111A1111111A11",,,,,,"1","0",,,,,,,,,,,,,"4",,,,,,,,,,,,
"KS007","2012-01-20T18:00:00","26.70","-80.00",,,"1","4","0","0","0","0",,"1",,,,,,,,,,"10179",,,"0","216",,,,,,,,,,,"A",,,,,,,,,"241","60","992","114","5","1","2","2","F1FF1F","1AAAA11AAA8AAA",,,,,,"3",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-20T18:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","61","8","56",,,,,"10223",,,"0","203",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"2","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-20T18:10:00","22.38","-70.84",,,"1","3","2","5",,,,"3",,,,,,,,,,"10192",,,"3",,,,,,,"253",,,,,,,,,,,,,,"242","20","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T18:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","148","8","33",,,,,"10228",,,"0","198",,,,,,"231",,,,,,,,,"9","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-20T18:20:00","29.47","-73.94",,,"1","3","2","5",,,,"3",,,,,,,,,,"10238",,,"3",,,,,,,"220",,,,,,,,,,,,,,"242","93","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-20T18:26:00","24.38","-74.11",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"252",,,,,,,,,,,,,,"242","44","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-20T18:29:00","27.39","-77.45",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"241",,,,,,,,,,,,,,"242","77","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-20T18:30:00","28.24","-76.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","86","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCWR","2012-01-20T18:33:00","29.20","-77.20",,,"1","4","2","0","2","2",,"1",,"5","174","4","17","0","90",,,"10211",,,"0","227","0",,"1",,"9","255",,"0",,,,,,,,,,,,"242","97","708","109","0","0",,"2","111111","111AA118814AAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NDLM","2012-01-20T18:33:00","29.80","-79.30",,,"1","5","2","0","1","2",,"1",,"5","170","4","10","0","90",,,"10214",,,"0","216","0","183","1","166","9","255","1",,,"0","A",,,,"1","1",,,,"242","99","708","109","0","0",,"2","111111","111AA1111111AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-20T18:40:00","26.81","-76.64",,,"1","3","2","5",,,,"3",,,,,,,,,,"10221",,,"3",,,,,,,"232",,,,,,,,,,,,,,"242","66","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T18:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"9","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T18:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"1","9","4",,,,"242","71","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-20T19:00:00","27.39","-77.45",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"241",,,,,,,,,,,,,,"242","77","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T19:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","160","1","40",,,,,"10225",,,"9","198",,,,,"1","231",,,,,,,,,,,,,,"242","88","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T19:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","30","1","70",,,,,"10223",,,"9","211",,,,,"1","243",,,,,,,,,,,,,,"242","71","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HXC9","2012-01-20T19:00:00","25.20","-75.80",,,"1","6","0","0","7","4",,"1",,"0","50","4","103",,"98",,"1","10187","1","3","0","212","0","140",,"85","3","242","3","3","2",,"5","0","0",,"5","2",,"9","1","242","55","992","114","5","1","2","2","111111","111A1111111171",,,,,,"1","1",,,,,,,,,,,,,"4",,,,,,,,,,,,
"C6VG7","2012-01-20T19:00:00","26.40","-78.20",,,"1","6","0","0","1","1",,"1",,"0","110","4","72",,"97",,,"10210","4","0","0","240",,,,,,,"8","8","1",,"6","8","A",,,,,,,"242","68","992","114","5","1","2","2","F1111F","111AA11AAA1AA1",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-20T19:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","71","8","63",,,,,"10218",,,"0","203",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"2","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZCDM6","2012-01-20T19:00:00","21.80","-76.80",,,"1","6","0","0","7","4","1","1","GB","0","50","3","118","0","98","2","0","10187","2","1","0","265","0","240","1","228","1","270","3","2","1","0","4","6","1",,"5","1","6","4","2","242","16","926","112","5","1","0","2","111111","14111111111411",,,"4","1","8","1","0","0",,,,,,,,,,,,"4",,,"9","11112111111219111111","5","296","295","19","3","0","62","123"
"41611","2012-01-20T19:01:00","28.24","-76.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","86","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-20T19:04:00","24.37","-74.11",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"252",,,,,,,,,,,,,,"242","44","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-20T19:05:00","27.39","-77.44",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"241",,,,,,,,,,,,,,"242","77","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T19:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"8","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-20T19:20:00","29.46","-73.94",,,"1","3","2","5",,,,"3",,,,,,,,,,"10235",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","93","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-20T19:20:00","22.39","-70.83",,,"1","3","2","5",,,,"3",,,,,,,,,,"10190",,,"3",,,,,,,"254",,,,,,,,,,,,,,"242","20","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-20T19:40:00","26.82","-76.66",,,"1","3","2","5",,,,"3",,,,,,,,,,"10218",,,"3",,,,,,,"233",,,,,,,,,,,,,,"242","66","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T19:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"9","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T19:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,"2","8","4",,,,"242","71","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T20:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","140","1","50",,,,,"10222",,,"9","199",,,,,"1","231",,,,,,,,,,,,,,"242","88","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T20:00:00","27.50","-71.50",,,"1","4","0","0","0","0",,"3",,"0","40","1","70",,,,,"10220",,,"9","211",,,,,"1","243",,,,,,,,,,,,,,"242","71","700","146","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HXC9","2012-01-20T20:00:00","25.40","-76.10",,,"1","6","0","0","7","4",,"1",,"0","50","4","113",,"98",,"1","10187","1","3","0","212","0","140",,"85","3","242","3","3","2",,"5","0","0",,"5","2",,"9","1","242","56","992","114","5","1","2","2","111111","111A1111111171",,,,,,"1","1",,,,,,,,,,,,,"4",,,,,,,,,,,,
"C6VG7","2012-01-20T20:00:00","26.40","-78.20",,,"1","6","0","0","1","1",,"1",,"0","110","4","72",,"97",,,"10210","4","0","0","240",,,,,,,"8","8","1",,"6","8","A",,,,,,,"242","68","992","114","5","1","2","2","F1111F","111AA11AAA1AA1",,,,,,"1",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"SPGF1","2012-01-20T20:00:00","26.70","-79.00",,,"1","3","2","0",,,,"5",,"5","54","8","61",,,,,"10216",,,"0","204",,,,,,,,,,,,,,,,,,,,"242","69","883","121","13","0",,"2","F1111F","11AAA11AAAAAAA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41979","2012-01-20T20:10:00","22.39","-70.82",,,"1","3","2","5",,,,"3",,,,,,,,,,"10189",,,"3",,,,,,,"255",,,,,,,,,,,,,,"242","20","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-20T20:18:00","24.36","-74.13",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"252",,,,,,,,,,,,,,"242","44","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-20T20:18:00","27.39","-77.44",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"241",,,,,,,,,,,,,,"242","77","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T20:20:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5",,"8",,,,,,,,,"0",,,,,,,,,,,,,,,,"9","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-20T20:20:00","28.23","-76.68",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","86","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41933","2012-01-20T20:20:00","29.45","-73.96",,,"1","3","2","5",,,,"3",,,,,,,,,,"10236",,,"3",,,,,,,"221",,,,,,,,,,,,,,"242","93","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCWR","2012-01-20T20:33:00","29.40","-79.70",,,"1","3","2","0","4","2",,"1",,"5","175","4","15","0","90",,,"10211",,,"0",,,,,,"9","225",,,,,,,,,,,,,,"242","99","708","109","0","0",,"2","1F111F","111AA1AAA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NDLM","2012-01-20T20:33:00","29.90","-79.20",,,"1","5","2","0","4","2",,"1",,"5","150","4","15","0","90",,,"10214",,,"0","225","0","225","1","225","9","255","2",,,"0","A",,,,"1","1",,,,"242","99","708","109","0","0",,"2","111113","111AA1111111AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41955","2012-01-20T20:40:00","26.84","-76.67",,,"1","3","2","5",,,,"3",,,,,,,,,,"10219",,,"3",,,,,,,"233",,,,,,,,,,,,,,"242","66","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41611","2012-01-20T20:41:00","28.23","-76.68",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"230",,,,,,,,,,,,,,"242","86","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31781","2012-01-20T20:43:00","24.36","-74.13",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"252",,,,,,,,,,,,,,"242","44","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31982","2012-01-20T20:45:00","27.36","-77.42",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"241",,,,,,,,,,,,,,"242","77","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T20:50:00","28.90","-78.50",,,"1","3","2","0",,,,"3",,"5","142","8","53",,,,,"10223",,,"0","200",,,,,,"231",,,,,,,,,"9","2",,,,"242","88","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41047","2012-01-20T20:50:00","27.50","-71.50",,,"1","3","2","0",,,,"3",,"5","43","8","66",,,,,"10223",,,"0","209",,,,,,"243",,,,,,,,"4","9","4",,,,"242","71","883","121","6","1","0","2","11111F","11AAA11AA1A1AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010","2012-01-20T21:00:00","28.90","-78.50",,,"1","4","0","0","0","0",,"3",,"0","140","1","50",,,,,"10223",,,"9","200",,,,,"1","231",,,,,,,,,,,,,,"242","88","700","146","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
